URL,YEAR
"http://iacis.org/iis/2018/1_iis_2018_108-117.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_118-127.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_98-107.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_83-90.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_91-97.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_76-82.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_58-67.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_68-75.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_48-57.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_39-47.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_29-30.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_20-28.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_11-19.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_1-10.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_171-175.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_176-186.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_187-195.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_196-205.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_206-215.pdf",2018
"http://iacis.org/iis/2017/,4_iis_2017_57-64.pdf",2017
"http://iacis.org/iis/2017/4_iis_2017_46-56.pdf",2017
"http://iacis.org/iis/2017/4_iis_2017_37-45.pdf",2017
"http://iacis.org/iis/2017/4_iis_2017_27-36.pdf",2017
"http://iacis.org/iis/2017/4_iis_2017_16-26.pdf",2017
"http://iacis.org/iis/2017/4_iis_2017_9-15.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_195-205.pdf",2017
"http://iacis.org/iis/2017/4_iis_2017_1-8.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_184-194.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_170-183.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_161-169.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_149-160.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_141-148.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_129-140.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_116-128.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_107-115.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_100-106.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_89-99.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_78-88.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_69-77.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_62-68.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_53-61.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_40-52.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_29-39.pdf",2017
"http://iacis.org/iis/2017/3_iis_2017_19-28.pdf",2017
